 tourn_number; year; tourn_name; 
  482; 2008; Ginn sur Mer Classic; 
  483; 2008; Puerto Rico Open presented by Banco Popular; 
  483; 2011; Puerto Rico Open presented by seepuertorico.com; 
  483; 2015; Puerto Rico Open; 
  483; 2016; Puerto Rico Open at Coco Beach; 
  489; 2014; World Golf Championships-HSBC Champions; 
  490; 2010; The Greenbrier Classic; 
  493; 2010; The McGladrey Classic; 
  493; 2016; The RSM Classic; 
  494; 2014; CIMB Classic; 
  505; 2003; Deutsche Bank Championship; 
  518; 2015; Barbasol Championship; 
 
